Month,Payment,Principal Paid,Interest Paid,Balance,Rate,Strategy
13,3233.623979926233,1270.688736507494,1962.935243418739,657931.3743385815,3.6000000000000005,Variable (Fixed Payment)
14,3233.623979926233,1274.472522760635,1959.151457165598,656656.9018158208,3.6000000000000005,Variable (Fixed Payment)
15,3233.623979926233,1278.2675761620542,1955.3564037641788,655378.6342396588,3.6000000000000005,Variable (Fixed Payment)
16,3233.623979926233,1282.0739302624388,1951.5500496637942,654096.5603093964,3.6000000000000005,Variable (Fixed Payment)
17,3233.623979926233,1285.891618712382,1947.732361213851,652810.668690684,3.6000000000000005,Variable (Fixed Payment)
18,3233.623979926233,1423.7845692954543,1809.8394106307787,651386.8841213885,3.35,Variable (Fixed Payment)
19,3233.623979926233,1427.7318415281939,1805.8921383980392,649959.1522798603,3.35,Variable (Fixed Payment)
20,3233.623979926233,1431.6900571005478,1801.9339228256852,648527.4622227598,3.35,Variable (Fixed Payment)
21,3233.623979926233,1435.6592463516145,1797.9647335746185,647091.8029764083,3.35,Variable (Fixed Payment)
22,3233.623979926233,1439.6394397046045,1793.9845402216285,645652.1635367037,3.35,Variable (Fixed Payment)
23,3233.623979926233,1443.6306676670724,1789.9933122591606,644208.5328690367,3.35,Variable (Fixed Payment)
24,3233.623979926233,1580.0658936675202,1653.5580862587128,642628.4669753691,3.1,Variable (Fixed Payment)
25,3233.623979926233,1584.1216156922806,1649.5023642339524,641044.3453596769,3.1,Variable (Fixed Payment)
26,3233.623979926233,1588.1877479671502,1645.4362319590828,639456.1576117097,3.1,Variable (Fixed Payment)
27,3233.623979926233,1592.2643172132177,1641.3596627130153,637863.8932944965,3.1,Variable (Fixed Payment)
28,3233.623979926233,1596.3513502201592,1637.2726297060738,636267.5419442763,3.1,Variable (Fixed Payment)
29,3233.623979926233,1600.4488738464152,1633.1751060798179,634667.0930704299,3.1,Variable (Fixed Payment)
30,3233.623979926233,1604.5569150193662,1629.0670649068668,633062.5361554105,3.1,Variable (Fixed Payment)
31,3233.623979926233,1608.6755007355105,1624.9484791907225,631453.8606546749,3.1,Variable (Fixed Payment)
32,3233.623979926233,1612.8046580606406,1620.8193218655924,629841.0559966143,3.1,Variable (Fixed Payment)
33,3233.623979926233,1616.944414130022,1616.679565796211,628224.1115824842,3.1,Variable (Fixed Payment)
34,3233.623979926233,1621.0947961485713,1612.5291837776617,626603.0167863356,3.1,Variable (Fixed Payment)
35,3233.623979926233,1625.2558313910342,1608.3681485351988,624977.7609549445,3.1,Variable (Fixed Payment)
36,3233.623979926233,1629.4275472021661,1604.1964327240669,623348.3334077423,3.1,Variable (Fixed Payment)
1,3233.623979926233,956.9934684624045,2276.6305114638285,671043.0065315376,4.1000000000000005,Variable (Recalc Payment)
2,3233.623979926233,960.2356121076023,2273.3883678186307,670082.7709194301,4.1000000000000005,Variable (Recalc Payment)
3,3233.623979926233,963.4887396265285,2270.1352402997045,669119.2821798036,4.1000000000000005,Variable (Recalc Payment)
4,3233.623979926233,966.752888230822,2266.871091695411,668152.5292915727,4.1000000000000005,Variable (Recalc Payment)
5,3233.623979926233,970.0280952581916,2263.5958846680414,667182.5011963146,4.1000000000000005,Variable (Recalc Payment)
6,3139.693272522863,1016.1191004479479,2123.574172074915,666166.3820958666,3.85,Variable (Recalc Payment)
7,3139.6932725228626,1019.3533043930361,2120.3399681298265,665147.0287914736,3.85,Variable (Recalc Payment)
8,3139.6932725228626,1022.597802480961,2117.0954700419015,664124.4309889927,3.85,Variable (Recalc Payment)
9,3139.693272522863,1025.8526274769338,2113.8406450459293,663098.5783615158,3.85,Variable (Recalc Payment)
10,3139.693272522863,1029.1178122504534,2110.5754602724096,662069.4605492653,3.85,Variable (Recalc Payment)
11,3139.6932725228626,1032.393389775641,2107.2998827472215,661037.0671594896,3.85,Variable (Recalc Payment)
12,3048.3443227839907,1079.9449062522542,1968.3994165317365,659957.1222532374,3.6000000000000005,Variable (Recalc Payment)
13,3048.344322783991,1083.160706135441,1965.1836166485502,658873.961547102,3.6000000000000005,Variable (Recalc Payment)
14,3048.344322783991,1086.38608184868,1961.958240935311,657787.5754652533,3.6000000000000005,Variable (Recalc Payment)
15,3048.344322783991,1089.6210619063463,1958.7232608776449,656697.954403347,3.6000000000000005,Variable (Recalc Payment)
16,3048.3443227839907,1092.8656749077218,1955.478647876269,655605.0887284393,3.6000000000000005,Variable (Recalc Payment)
17,3048.344322783991,1096.1199495372518,1952.2243732467393,654508.9687789021,3.6000000000000005,Variable (Recalc Payment)
18,2959.5872156650175,1145.0394713960961,1814.5477442689214,653363.929307506,3.35,Variable (Recalc Payment)
19,2959.587215665017,1148.213956222174,1811.3732594428432,652215.7153512838,3.35,Variable (Recalc Payment)
20,2959.5872156650175,1151.3972419273161,1808.1899737377014,651064.3181093564,3.35,Variable (Recalc Payment)
21,2959.5872156650175,1154.5893529109053,1804.9978627541122,649909.7287564456,3.35,Variable (Recalc Payment)
22,2959.5872156650175,1157.790313639969,1801.7969020250484,648751.9384428055,3.35,Variable (Recalc Payment)
23,2959.587215665017,1161.0001486493675,1798.5870670156496,647590.9382941562,3.35,Variable (Recalc Payment)
24,2873.4256284103008,1211.1855648781686,1662.2400635321321,646379.752729278,3.1,Variable (Recalc Payment)
25,2873.4256284103008,1214.2944427998016,1659.1311856104992,645165.4582864783,3.1,Variable (Recalc Payment)
26,2873.4256284103008,1217.4113006067732,1656.0143278035275,643948.0469858715,3.1,Variable (Recalc Payment)
